com.flashforceapp.whitesoxdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.whitesoxaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.whitesoxbluered,published,managed_by_android,false,en_US; American Pro ⚾  Blue Red Alternate Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.whitesoxblackwhite,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.oriolesdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Gray Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesorange,published,managed_by_android,false,en_US; American Pro ⚾  Orange Alternate Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesblack,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.dodgersdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.dodgersaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.yankeesdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home New York (Bronx); Flash Force Pattern,true,990000
com.flashforceapp.yankeesaway,published,managed_by_android,false,en_US; American Pro ⚾  Away New York (Bronx); Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksalt1,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksal2,published,managed_by_android,false,en_US; American Pro ⚾  Black Alternate Arizona; Flash Force Pattern,true,990000
com.flashforceapp.rangersdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersaway,published,managed_by_android,false,en_US; American Pro ⚾  Away Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersalt1,published,managed_by_android,false,en_US; American Pro ⚾  Red Alternate Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersal2,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate Texas; Flash Force Pattern,true,990000
com.flashforceapp.padresdefault,published,managed_by_android,false,en_US; American Pro ⚾  Home San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresaway,published,managed_by_android,false,en_US; American Pro ⚾  Away San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresalt1,published,managed_by_android,false,en_US; American Pro ⚾  Blue Alternate San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresal2,published,managed_by_android,false,en_US; American Pro ⚾  Sand Alternate San Diego; Flash Force Pattern,true,990000
