SKU	Product ID	Reference Name	Type	Cleared For Sale	Wholesale Price Tier	Displayed Name	Description	Screenshot Path	Effective Date	End Date	Review Notes	Hosted Content Path
smarterappsflashforce	com.flashforceapp.angershome	Club Soccer FR  Angers Home	Non-Consumable	yes	1	Club Soccer FR  Angers Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.bastiahome	Club Soccer FR  Bastia Home	Non-Consumable	yes	1	Club Soccer FR  Bastia Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.bordeauxhome	Club Soccer FR  Bordeaux Home	Non-Consumable	yes	1	Club Soccer FR  Bordeaux Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.lemanshome	Club Soccer FR  Lemans Home	Non-Consumable	yes	1	Club Soccer FR  Lemans Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.marseillehome	Club Soccer FR  Marseille Home	Non-Consumable	yes	1	Club Soccer FR  Marseille Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.monacohome	Club Soccer FR  Monaco Home	Non-Consumable	yes	1	Club Soccer FR  Monaco Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.nancyhome	Club Soccer FR  Nancy Home	Non-Consumable	yes	1	Club Soccer FR  Nancy Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.nanteshome	Club Soccer FR  Nantes Home	Non-Consumable	yes	1	Club Soccer FR  Nantes Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.nicehome	Club Soccer FR  Nice Home	Non-Consumable	yes	1	Club Soccer FR  Nice Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.olymlyonnaishome	Club Soccer FR  Olym Lyonnais Home	Non-Consumable	yes	1	Club Soccer FR  Olym Lyonnais Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.psghome	Club Soccer FR  PSG Home	Non-Consumable	yes	1	Club Soccer FR  PSG Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.renneshome	Club Soccer FR  Rennes Home	Non-Consumable	yes	1	Club Soccer FR  Rennes Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.stetiennehome	Club Soccer FR  St Etienne Home	Non-Consumable	yes	1	Club Soccer FR  St Etienne Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.toulousehome	Club Soccer FR  Toulouse Home	Non-Consumable	yes	1	Club Soccer FR  Toulouse Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.valencienneshome	Club Soccer FR  Valenciennes Home	Non-Consumable	yes	1	Club Soccer FR  Valenciennes Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.atlantehome	Club Soccer MX  Atlante Home	Non-Consumable	yes	1	Club Soccer MX  Atlante Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.chiapashome	Club Soccer MX  Chiapas Home	Non-Consumable	yes	1	Club Soccer MX  Chiapas Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.moreliahome	Club Soccer MX  Morelia Home	Non-Consumable	yes	1	Club Soccer MX  Morelia Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.pueblahome	Club Soccer MX  Puebla Home	Non-Consumable	yes	1	Club Soccer MX  Puebla Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.unamhome	Club Soccer MX  UNAM Home	Non-Consumable	yes	1	Club Soccer MX  UNAM Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.frosinonehome	Club Soccer IT  Frosinone Home	Non-Consumable	yes	1	Club Soccer IT  Frosinone Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.genoahome	Club Soccer IT  Genoa Home	Non-Consumable	yes	1	Club Soccer IT  Genoa Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.parmahome	Club Soccer IT  Parma Home	Non-Consumable	yes	1	Club Soccer IT  Parma Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.torinohome	Club Soccer IT  Torino Home	Non-Consumable	yes	1	Club Soccer IT  Torino Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.udinesehome	Club Soccer IT  Udinese Home	Non-Consumable	yes	1	Club Soccer IT  Udinese Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.veronahome	Club Soccer IT  Verona Home	Non-Consumable	yes	1	Club Soccer IT  Verona Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.atleticomadridhome	Club Soccer ES  Atletico Madrid Home	Non-Consumable	yes	1	Club Soccer ES  Atletico Madrid Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.getafehome	Club Soccer ES  Getafe Home	Non-Consumable	yes	1	Club Soccer ES  Getafe Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.sevillahome	Club Soccer ES  Sevilla Home	Non-Consumable	yes	1	Club Soccer ES  Sevilla Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.rayovallecanohome	Club Soccer ES  Rayo Vallecano Home	Non-Consumable	yes	1	Club Soccer ES  Rayo Vallecano Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.realmadridhome	Club Soccer ES  Real Madrid Home	Non-Consumable	yes	1	Club Soccer ES  Real Madrid Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.valladolidhome	Club Soccer ES  Valladolid Home	Non-Consumable	yes	1	Club Soccer ES  Valladolid Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.valenciahome	Club Soccer ES  Valencia Home	Non-Consumable	yes	1	Club Soccer ES  Valencia Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.botafogohome	Club Soccer BR  Botafogo Home	Non-Consumable	yes	1	Club Soccer BR  Botafogo Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.corinthianshome	Club Soccer BR  Corinthians Home	Non-Consumable	yes	1	Club Soccer BR  Corinthians Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.coritibahome	Club Soccer BR  Coritiba Home	Non-Consumable	yes	1	Club Soccer BR  Coritiba Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.fortalezahome	Club Soccer BR  Fortaleza Home	Non-Consumable	yes	1	Club Soccer BR  Fortaleza Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.guaranihome	Club Soccer BR  Guarani Home	Non-Consumable	yes	1	Club Soccer BR  Guarani Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.arsenaldesarandihome	Club Soccer AR  Arsenal de Sarandi Home	Non-Consumable	yes	1	Club Soccer AR  Arsenal de Sarandi Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.belgranohome	Club Soccer AR  Belgrano Home	Non-Consumable	yes	1	Club Soccer AR  Belgrano Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.godoycruzhome	Club Soccer AR  Godoy Cruz Home	Non-Consumable	yes	1	Club Soccer AR  Godoy Cruz Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.huracanhome	Club Soccer AR  Huracan Home	Non-Consumable	yes	1	Club Soccer AR  Huracan Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.sanmartinsjhome	Club Soccer AR  San Martin SJ Home	Non-Consumable	yes	1	Club Soccer AR  San Martin SJ Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.colonhome	Club Soccer AR  Colon Home	Non-Consumable	yes	1	Club Soccer AR  Colon Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
smarterappsflashforce	com.flashforceapp.tigrehome	Club Soccer AR  Tigre Home	Non-Consumable	yes	1	Club Soccer AR  Tigre Home	Flash Force pattern	/Users/conradframe/Desktop/ffimages/purchaseExample.png	Now	None	Light pattern and timing combination for use in the Flash Force app	
