com.flashforceapp.whitesoxdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.whitesoxaway,published,managed_by_android,false,en_US; American Pro Baseball Away Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.whitesoxbluered,published,managed_by_android,false,en_US; American Pro Baseball Blue Red Alternate Chicago (Sout; Flash Force Pattern,true,990000
com.flashforceapp.whitesoxblackwhite,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate Chicago (South); Flash Force Pattern,true,990000
com.flashforceapp.oriolesdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesaway,published,managed_by_android,false,en_US; American Pro Baseball Away Gray Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesorange,published,managed_by_android,false,en_US; American Pro Baseball Orange Alternate Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.oriolesblack,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate Baltimore; Flash Force Pattern,true,990000
com.flashforceapp.dodgersdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.dodgersaway,published,managed_by_android,false,en_US; American Pro Baseball Away Los Angeles; Flash Force Pattern,true,990000
com.flashforceapp.yankeesdefault,published,managed_by_android,false,en_US; American Pro Baseball Home New York (Bronx); Flash Force Pattern,true,990000
com.flashforceapp.yankeesaway,published,managed_by_android,false,en_US; American Pro Baseball Away New York (Bronx); Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksaway,published,managed_by_android,false,en_US; American Pro Baseball Away Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksalt1,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Arizona; Flash Force Pattern,true,990000
com.flashforceapp.diamondbacksal2,published,managed_by_android,false,en_US; American Pro Baseball Black Alternate Arizona; Flash Force Pattern,true,990000
com.flashforceapp.rangersdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersaway,published,managed_by_android,false,en_US; American Pro Baseball Away Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersalt1,published,managed_by_android,false,en_US; American Pro Baseball Red Alternate Texas; Flash Force Pattern,true,990000
com.flashforceapp.rangersal2,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate Texas; Flash Force Pattern,true,990000
com.flashforceapp.padresdefault,published,managed_by_android,false,en_US; American Pro Baseball Home San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresaway,published,managed_by_android,false,en_US; American Pro Baseball Away San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresalt1,published,managed_by_android,false,en_US; American Pro Baseball Blue Alternate San Diego; Flash Force Pattern,true,990000
com.flashforceapp.padresal2,published,managed_by_android,false,en_US; American Pro Baseball Sand Alternate San Diego; Flash Force Pattern,true,990000
com.flashforceapp.raysdefault,published,managed_by_android,false,en_US; American Pro Baseball Home Tampa Bay; Flash Force Pattern,true,990000
